"","X.1","X","prod_name","pantry","refrigerator","freezer","splitlen","status","new_prod","raw_prod","pantry_times","pantry_num","pantry_min","pantry_max","pantry_mult","pantry_mindays","pantry_maxdays","refrigerator_times","refrigerator_num","refrigerator_min","refrigerator_max","refrigerator_mult","refrigerator_mindays","refrigerator_maxdays","freezer_times","freezer_num","freezer_min","freezer_max","freezer_mult","freezer_mindays","freezer_maxdays","new_status","new_status_2"
"1",1,"http://www.stilltasty.com/searchitems/index/261.href"," APPLE JUICE — COMMERCIALLY FROZEN CONCENTRATE",NA,NA,"1 year",2,"COMMERCIALLY FROZEN CONCENTRATE"," APPLE JUICE"," APPLE JUICE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365,"COMMERCIALLY FROZEN CONCENTRATE","FROZEN"
"2",2,"http://www.stilltasty.com/searchitems/index/261.href"," APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED ",NA,"5-7 days","8-12 months",2,"OPENED "," APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," APPLE JUICE",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","8-12",8,12,30,240,360,"OPENED ","OPENED"
"3",3,"http://www.stilltasty.com/searchitems/index/261.href"," APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED","12-18 months",NA,"8-12 months",2,"UNOPENED"," APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," APPLE JUICE","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,"months","8-12",8,12,30,240,360,"UNOPENED","UNOPENED"
"4",4,"http://www.stilltasty.com/searchitems/index/261.href"," APPLE JUICE, SOLD IN REFRIGERATED CONTAINER — OPENED",NA,"7-10 days ","8-12 months",2,"OPENED"," APPLE JUICE, SOLD IN REFRIGERATED CONTAINER"," APPLE JUICE",NA,NA,NA,NA,NA,NA,NA,"days","7-10",7,10,1,7,10,"months","8-12",8,12,30,240,360,"OPENED","OPENED"
"5",5,"http://www.stilltasty.com/searchitems/index/261.href"," APPLE JUICE, SOLD IN REFRIGERATED CONTAINER — UNOPENED",NA,"1 week after date on package ","8-12 months",2,"UNOPENED"," APPLE JUICE, SOLD IN REFRIGERATED CONTAINER"," APPLE JUICE",NA,NA,NA,NA,NA,NA,NA,"week","1",1,1,7,7,7,"months","8-12",8,12,30,240,360,"UNOPENED","UNOPENED"
"6",6,"http://www.stilltasty.com/searchitems/index/261.href"," APPLES —  COMMERCIALLY FROZEN",NA,NA,"1 year",2," COMMERCIALLY FROZEN"," APPLES"," APPLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365," COMMERCIALLY FROZEN","FROZEN"
"7",7,"http://www.stilltasty.com/searchitems/index/261.href"," APPLES — FRESH, RAW, CUT UP",NA,"3-4 days","10-12 months",2,"FRESH, RAW, CUT UP"," APPLES"," APPLES",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","10-12",10,12,30,300,360,"FRESH, RAW, CUT UP","FRESH, RAW"
"8",8,"http://www.stilltasty.com/searchitems/index/261.href"," APPLES — FRESH, RAW, WHOLE","1-3 days","3-4 weeks","10-12 months",2,"FRESH, RAW, WHOLE"," APPLES"," APPLES","days","1-3",1,3,1,1,3,"weeks","3-4",3,4,7,21,28,"months","10-12",10,12,30,300,360,"FRESH, RAW, WHOLE",NA
"9",9,"http://www.stilltasty.com/searchitems/index/261.href"," APPLES, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"5-7 days","1-2 months",2,"OPENED"," APPLES, COMMERCIALLY CANNED OR BOTTLED"," APPLES",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"10",10,"http://www.stilltasty.com/searchitems/index/261.href"," APPLES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","12-18 months",NA,NA,2,"UNOPENED"," APPLES, COMMERCIALLY CANNED OR BOTTLED"," APPLES","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
